Was ist das größte Land der Welt nach Fläche?;Kanada;China;USA;Russland;Russland
Was ist der längste Fluss der Welt?;Amazonas;Nil;Mississippi;Yangtze;Nil
Was ist der höchste Berg der Welt?;K2;Kangchendzönga;Mount Everest;Lhotse;Mount Everest
Was ist der größte Ozean?;Atlantischer Ozean;Indischer Ozean;Pazifischer Ozean;Arktischer Ozean;Pazifischer Ozean
Was ist die bevölkerungsreichste Stadt der Welt?;Shanghai;Mumbai;Tokio;Delhi;Tokio
Welches Land hat die meisten Einwohner?;Indien;USA;China;Indonesien;Indien
Was ist der größte Kontinent?;Afrika;Amerika;Asien;Europa;Asien
Was ist das tiefste Gewässer der Erde?;Kaspisches Meer;Baikalsee;Schwarzes Meer;Tanganjikasee;Baikalsee
Welches Land hat die längste Küstenlinie?;Australien;Russland;Kanada;Norwegen;Kanada
Was ist der größte Wüste der Welt?;Gobi;Sahara;Atacama;Antarktis;Antarktis
